Y,X,Name
-14.0531476579563,95.3599140643643,46LGK
-13.1495191773348,95.3509768186096,46LGL
-12.2458216493874,95.3426842050988,46LGM
-11.342601750273,95.3350298112408,46LGN
-14.0423382761155,96.2851355474521,46LHK
-13.1394297440372,96.2727075130348,46LHL
-12.2364471244411,96.2611757630862,46LHM
-11.33393706065,96.2505314122877,46LHN
-14.0540114019394,96.7302236732951,47LKE
-13.1503253896358,96.7388202829682,47LKF
-12.2465707337496,96.7467968225048,47LKG
-11.343294112123,96.7541594614305,47LKH
-13.1567899044559,97.6612446321996,47LLF
-12.2525771617195,97.6659703971413,47LLG
-11.348845711217,97.6703324211141,47LLH
-10.446873538248,105.501432902016,48LWP
-10.4441306659896,106.415174558231,48LXP
-27.6088453326103,112.569660056017,49JFK
-26.7061776497676,112.557087350049,49JFL
-25.803389701312,112.545093002114,49JFM
-24.9010261718996,112.533664654433,49JFN
-29.3969474886022,113.626219301,49JGH
-28.495121624405,113.603553996911,49JGJ
-27.5937011248345,113.581920480042,49JGK
-26.6916071866747,113.561257183163,49JGL
-25.8062133481836,113.337783548723,49JGM
-24.8875771380385,113.522760762745,49JGN
-25.8514377772186,114.11865869006,49JHM
-23.9980069052382,112.522770745978,49KFP
-23.0948767131364,112.512401580102,49KFQ
-23.9489967958138,113.41617255905,49KGP
-23.082518187026,113.487812547121,49KGQ
-22.1803565175272,113.471615488528,49KGR
-21.2775425720349,113.456220897649,49KGS
-22.1611243679643,114.396035188142,49KHR
-21.2607423390649,114.419049138045,49KHS
-20.3585973971992,114.398742653533,49KHT
-29.3988869160548,114.474064525175,50JKN
-28.513649166411,114.462364350726,50JKP
-27.6091605857114,114.055344489411,50JKQ
-26.324786801118,114.133733499739,50JKR
-21.2788850726756,114.637586971281,50KKB
-20.3759021879872,114.651635138329,50KKC
-19.4733587832736,114.664935952513,50KKD
-21.2896500251626,115.601265174876,50KLB
-20.3861698601236,115.609588870107,50KLC
-19.4831350378941,115.617469650065,50KLD
-20.8974784466787,116.147728072763,50KMB
-20.3911757710716,116.567405736655,50KMC
-19.4879013405178,116.569858521469,50KMD
-18.5839942306698,116.572179881548,50KME
-20.3909192705534,117.525933798798,50KNC
-19.4876571178116,117.52295183759,50KND
-18.5837621622686,117.520129655297,50KNE
